No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
15,CCO,352.93M,483.47M,461.26M,0.70%,0.00%,63.26%,0.00%,2.90%,4.18,3.21M,0.73,1.47%,"1,959,862"
18,CLNY,1.02B,530.22M,476.09M,0.60%,4.94%,82.00%,-0.17%,2.39%,2.30,4.95M,1.92,5.49%,"3,553,050"
20,CNQ,15.28B,1.23B,1.16B,3.30%,0.00%,66.60%,-2.68%,0.50%,0.98,5.90M,12.43,-2.81%,"4,912,991"
24,CVE,3.25B,1.24B,1.02B,0.10%,0.00%,73.10%,0.52%,2.74%,2.95,9.46M,2.63,0.00%,"15,069,387"
29,DNR,91.00M,507.22M,498.87M,1.10%,0.00%,73.20%,0.02%,19.38%,5.88,16.46M,0.18,2.69%,"16,771,298"
34,EOG,25.75B,635.77M,580.13M,0.30%,-0.04%,89.50%,0.10%,2.19%,1.82,6.98M,40.50,-1.63%,"6,313,879"
49,HAL,6.79B,910.01M,870.53M,0.30%,5.64%,82.10%,-0.59%,4.06%,1.30,27.16M,7.46,-2.23%,"34,791,248"
52,HL,1.11B,490.25M,490.25M,1.50%,-0.24%,64.10%,-0.16%,3.66%,1.80,9.96M,2.27,-2.58%,"6,454,307"
62,MFA,810.05M,485.06M,450.47M,0.70%,-3.63%,77.70%,-2.37%,2.43%,0.37,29.29M,1.67,-0.60%,"22,038,308"
64,MPC,16.84B,710.11M,646.30M,0.40%,0.00%,78.90%,-0.04%,2.92%,1.72,10.95M,23.72,-4.55%,"11,871,930"
65,MRO,3.64B,859.51M,782.60M,0.30%,6.03%,87.40%,-0.19%,9.60%,2.01,37.32M,4.24,0.71%,"41,721,324"
66,NBL,3.59B,533.58M,478.77M,1.10%,-1.57%,99.20%,0.06%,5.47%,2.28,11.49M,6.72,-1.97%,"14,608,388"
77,OXY,12.32B,998.69M,893.71M,0.20%,4.43%,87.60%,7.99%,8.62%,2.21,34.82M,12.34,-1.99%,"62,591,152"
91,RIG,782.74M,711.58M,573.46M,0.40%,1.66%,72.30%,-1.44%,17.27%,3.61,27.45M,1.10,-5.98%,"32,041,150"
101,SLB,21.38B,1.46B,1.39B,0.10%,-9.02%,80.10%,-0.13%,1.70%,1.13,20.84M,14.69,-3.42%,"22,926,600"
